,product_name,product_category,product_category_type,product_price,product_average_rating,customer_username,review_rating,customer_location,customer_athlete_type,customer_age_range,customer_body_type,review_likes,review_dislikes,review_fit,review_title,review_date,review_text,response_date,response_text,review_helpful_count,review_nothelpful_count,review_length,review_response,customer_country
0,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,NYR26,5.0,"STAMFORD, CT",SWEATY GENERALIST,18-24,ATHLETIC,No Response,No Response,No Response,The best tshirt,2018-10-12,These are the most comfortable T-shirts. Wish you guys would make more colors and bring back the old style where the 3 stitches were different colors.,No Response,No Response,0,0,150,0,USA
1,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,MJB23,1.0,"CHICAGO, IL, USA",SWEATY GENERALIST,18-24,MUSCULAR,design,quality,No Response,Very Poor Quality,2018-10-11,"I purchased this Short Sleeve expecting it to be just like all the other ones I have in my collection that have held up just fine. Unfortunately, after only three wears and one wash, which was washed to the guidelines lululemon provides, the material on the shirt looks like a 5 dollar t shirt, not a 68 dollar one. The material looks frayed and very distressed in certain parts and ultimately unwearable. Not sure if I just received a shirt that was in a bad batch, but I would definitely steer clear from this product until quality gets reworked. Very disappointed.",2018-10-11 00:00:00,"Dear mjb23,  Thanks for reaching out and providing this feedback for us. We hear where you're coming from and I'm sorry to hear your Metal Vent Tech Short Sleeve haven't held up for you as expected. To carry on this conversation, we've sent you a follow up email. Chat soon!",0,0,567,1,USA
2,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,JKD123,1.0,"CHICAGO, IL, USA",RUNNER,25-34,ATHLETIC,No Response,"stretch, comfort",No Response,Stretches When You Sweat,2018-10-08,I bought this shirt for my husband to run the Chicago Marathon. Upon starting the race it fit great ... after 4 hours of sweat the shirt grew at least 6inches in length and was way too long and uncomfortable to run in. It was well below his butt at the end of the race.,2018-10-09 00:00:00,"Hi Jkd123,  Thanks for reaching out and providing this feedback for us. I completely understand why you're disappointed with this and I'd love to help turn this around. Please be on the lookout for an email headed your way. It'll detail the next steps to take to resolve this.",0,0,269,1,USA
3,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,SLASH,5.0,"OVERLAND PARK, KS, USA",SWEATY GENERALIST,45-54,MUSCULAR,No Response,No Response,No Response,Love Lulu,2018-10-08,I have several shirts and shorts I have purchased from Lululemon. Hands down the best clothing I have ever worn. I wear Lulu to work (the ABC pant) and Lulu when I'm off.,No Response,No Response,0,0,170,0,USA
4,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,BRANDONM19,4.0,"HUTCHINSON, KS",SWEATY GENERALIST,18-24,ATHLETIC,sweat wicking material,No Response,No Response,Sweat wicking shirt,2018-10-03,Great for workouts.,No Response,No Response,0,0,19,0,USA
5,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,SPH16,5.0,No Response,No Response,No Response,No Response,No Response,No Response,No Response,Great Shirts,2018-10-02,Ordered 3 of these. These are my favorite workout shirts. Look great and hold up well in the wash.,No Response,No Response,0,0,98,0,No Response
6,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,JACKDAVIS104,5.0,"CHICAGO, IL, USA",SWEATY GENERALIST,18-24,SLIM,"fabric, color",No Response,No Response,Favorite Shirt,2018-10-01,"This is the shirt you throw on if you know you're going to be outside all day: super comfortable material, can't see sweat through it, and matches up with khaki shorts or work out shorts.",No Response,No Response,0,0,187,0,USA
7,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,JAMIEC,5.0,"ALEXANDRIA, LA, USA",RUNNER,35-44,PETITE,sweat wicking,price a little steep for a shirt,No Response,He loves it,2018-09-30,These are the best at sweat wicking. I bought my husband one and it wasn’t long before he was asking for more.,No Response,No Response,0,0,110,0,USA
8,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,LULUEXFAN,1.0,"LOS ANGELES, CA, USA",SWEATY GENERALIST,25-34,MUSCULAR,older style quality of these clothes,“updated” quality,No Response,Unfortunate changes to quality,2018-09-29,I have been a fan of lululemon for the last 7 years and unfortunately I’ve notice recently that there is “updated” versions of some old favorites with the metal vent tech shirts being one of them and the quality has gone down the toilet. Yes they are lighter but they lose shape quickly and after a workout look like a cheap option from Ross vs the lululemon quality I’m very familiar with. I have purchased thousands of dollars per year on these clothes and I am very upset I wasted money on these new versions.,2018-09-29 00:00:00,"Hi Luluexfan,  We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",2,0,512,1,USA
9,Metal Vent Tech Short Sleeve,Tops,Short Sleeves,68.0,2.9,BR1AN,5.0,No Response,SWEATY GENERALIST,35-44,MUSCULAR,"quality, comfortable","wish it was longer, want more room in shoulders",No Response,Great quality,2018-09-25,Good stuff!,No Response,No Response,0,0,11,0,No Response
