product,list_price,average_rating,user_rating,user,location,athleticType,ageRange,bodyType,like,not_like,fit,title,datePublished,text,responseDate,response,helpfulYes,helpfulNo
Double Roller,58,4.8 out of 5,5 out of 5,MESMERIZEME96789,"MILILANI, HI, USA",RUNNER,25-34,ATHLETIC,functional,colors,,Great roller,7/26/18,"This roller is amazing. I wasn’t sure if I liked the color schemes but the function out performed its colors. Definitely a must have. Lulu, would you offer more colors for this roller?",,,1,0
Double Roller,58,4.8 out of 5,5 out of 5,NAZANIN,"BETHESDA, MD",SWEATY GENERALIST,25-34,ATHLETIC,"color, design, versatile, effective, size",painful,,Better than your average roller,5/9/18,"It hurts like a you know what but the results are what I need after training. Props to lulu for making this product a 2 in 1. I really like that there are two types of rollers available depending on my self-torture needs. I love the design. It doesn't have any odor and it's easy to store. I hope lulu continues making these types of products. Can you please make elastic some exercise bands with motivational messages? Also, if this is painful for you, maybe lulu should consider making a smoother roller too.",,,1,0
Double Roller,58,4.8 out of 5,5 out of 5,JORDANNE00,"RALEIGH, NC",SWEATY GENERALIST,25-34,ATHLETIC,"grooves, double roller feature",,,Very Good Foam Roller,5/1/18,"I have a love/hate relationship with this thing! I love it because it does it's job and helps roll out sore muscles and I hate it because those same sore muscles are screaming while I do it! This is a great roller because the outer layer gets deep and the inner roller gets even deeper. I do wish you could use the outer portion without the inner portion in it, but it's very easy to slide in and out! The grooves get a deeper stretch into the muscle much better than a flat roller does. Overall, I would recommend this and I've even gotten other people in my gym to use who have really liked it as well!",,,1,0
Double Roller,58,4.8 out of 5,4 out of 5,THEGIRLNEXTDOOR,"SEATTLE, WA, USA",SWEATY GENERALIST,18-24,ATHLETIC,"versatility, design, color",,,Decent Roller,4/29/18,"This roller is a fairly decent one. Its a sweet deal, you get two for the price of one! The outer roller is softer and can't be used without the inner roller inside. The inner roller is firm and works wonders on the back. The outer roller is ridged and works wonderfully as well. All in all its a decent roller. I only have given it a lower rating because the outer portion can't be used without the inside part.",,,1,0
Metal Vent Tech Short Sleeve,68,2.7 out of 5,5 out of 5,YOGIHOLIC,"DALLAS, TX, USA",SWEATY GENERALIST,25-34,ATHLETIC,,,,Comfy Shirt,8/5/18,"I was pretty stoked having my first lululemon shirt, and this shirt has been the most durable during sweaty workouts at SoulCycle. I was really impressed with the quality of the shirt I bought another one. Wish these shirts come in long-sleeve versions.",,,0,0
Metal Vent Tech Short Sleeve,68,2.7 out of 5,1 out of 5,JKIM,"BOSTON, MA, USA",SWEATY GENERALIST,18-24,ATHLETIC,,,,Shirt shrunk immeasurably,8/5/18,"The metal vent tech short sleeve was a perfect fit for me when I first got it, but it shrunk almost two fold after it was put in the wash. I am now unable to wear it, and I cannot return it since I took off the tags.",6-Aug-18,"Hey Jkim,

Thanks for taking the time to share your feedback with us. I'm sorry to hear your Metal Vent Tech Short Sleeve has shrunk. Keep an eye out for an email coming your way. Chat Soon!",0,0
Metal Vent Tech Short Sleeve,68,2.7 out of 5,4 out of 5,JDHOCKEY25,,,,,,,,Color,8/4/18,"ordered a Marina colored shirt which showed up as more of a teal/green on the website. received the shirt only to find out it is dark blue. somewhat disappointed because I also ordered a navy shirt, but quality and comfort is great.",5-Aug-18,"Hey jdhockey,
I'm bummed to hear that you've received something in a deceiving colour -- we'd love to help you out! Please reach out to our GEC at 1.877.263.9300 and one of our educators will be able to help you out -- we hope to hear from you soon!",0,0
Metal Vent Tech Short Sleeve,68,2.7 out of 5,2 out of 5,SOLECATALYST,,,,,,,,Shirt doesn't last long,8/3/18,"I initially liked this shirt as it is very comfortable and fits extremely well. It's fitted but not tight and loose enough to work out in without feeling constricted. However, after only wearing this shirt a handful of times, the shirt is already pilling in many areas. Considering that I've never deviated from the washing directions provided by Lululemon, I must conclude that the quality of the material isn't very good. It's very disappointing since these shirts are expensive and are supposed to be of high quality.",4-Aug-18,"Hey SoleCatalyst,

We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",0,0
Metal Vent Tech Short Sleeve,68,2.7 out of 5,5 out of 5,BUILD,UNITED STATES,SWEATY GENERALIST,25-34,ATHLETIC,,,,Best fitting shirt I own,8/3/18,Love these shirts.,,,0,0
Metal Vent Tech Short Sleeve,68,2.7 out of 5,5 out of 5,XFILE1968,KENTUCKY,,,,,,,My Review,8/2/18,"Excellent comfort, fit and style!",,,0,0
