"Metal Vent Tech Short Sleeve
NEW",,,In love with the fabric.
"Metal Vent Tech Short Sleeve
NEW",,,Faltering Construction
"Metal Vent Tech Short Sleeve
NEW",,,Easy classy
"Metal Vent Tech Short Sleeve
NEW",,,Unusual Experience
"Metal Vent Tech Short Sleeve
NEW",,,bad quality
"Metal Vent Tech Short Sleeve
NEW",,,Inconsistent Sizing
"Metal Vent Tech Short Sleeve
NEW",,,Own multiple of these...
"Metal Vent Tech Short Sleeve
NEW",,,Unbelievable
"Metal Vent Tech Short Sleeve
NEW",,,Disappointed
"Metal Vent Tech Short Sleeve
NEW",,,My White Tops Bled
"Metal Vent Tech Short Sleeve
NEW",,,Is this actually for exercise?
"Metal Vent Tech Short Sleeve
NEW",,,Inconsistant Sizing
"Metal Vent Tech Short Sleeve
NEW",,,Bacon neck
"Metal Vent Tech Short Sleeve
NEW",,,Poor Quality
"Metal Vent Tech Short Sleeve
NEW",,,Go to workout shirt
"Metal Vent Tech Short Sleeve
NEW",,,Disappointing
"Metal Vent Tech Short Sleeve
NEW",,,Stretched out after only one wash
"Metal Vent Tech Short Sleeve
NEW",,,"Overall great, sizing doesn't seem consistent"
"Metal Vent Tech Short Sleeve
NEW",,,Very Poor Lululemon Quality and Attention to Detail
"Metal Vent Tech Short Sleeve
NEW",,,Comfortable...but seeing the beginnings of bacon neck
"Metal Vent Tech Short Sleeve
NEW",,,Bring Back the Old Metal Vent Techs
"Metal Vent Tech Short Sleeve
NEW",,,Perfect standard T
"Metal Vent Tech Short Sleeve
NEW",,,poor quality
"Metal Vent Tech Short Sleeve
NEW",,,Awesome Except for the Bacon Neck
"Metal Vent Tech Short Sleeve
NEW",,,Beware of new sizing
"Metal Vent Tech Short Sleeve
NEW",,,"""Body-mapping"" Metal Vent"
"Metal Vent Tech Short Sleeve
NEW",,,Bring back the old logo
"Metal Vent Tech Short Sleeve
NEW",,,BAD LOGO
"Metal Vent Tech Short Sleeve
NEW",,,BEWARE SIZE CHANGE
"Metal Vent Tech Short Sleeve
NEW",,,Pilling After Two Wears
"Metal Vent Tech Short Sleeve
NEW",,,Started Pilling After One Wear
"Metal Vent Tech Short Sleeve
NEW",,,"Nice looking shirt, but threads coming out"
"Metal Vent Tech Short Sleeve
NEW",,,Love older ones but recent green one is bizarrely constructed
"Metal Vent Tech Short Sleeve
NEW",,,"Disappointed, Shrinkage"
"Metal Vent Tech Short Sleeve
NEW",,,Metal Vent Tech SS shirt
"Metal Vent Tech Short Sleeve
NEW",,,Great Product but got a hole in one of them
"Metal Vent Tech Short Sleeve
NEW",,,Great shirt but don't go white
"Metal Vent Tech Short Sleeve
NEW",,,sweat stains are major problemo
"Metal Vent Tech Short Sleeve
NEW",,,Lululemon logo peeling off
"Metal Vent Tech Short Sleeve
NEW",,,Great Shirt For Sweating
"Metal Vent Tech Short Sleeve
NEW",,,Disappointed
"Metal Vent Tech Short Sleeve
NEW",,,Poor Quality Control
"Metal Vent Tech Short Sleeve
NEW",,,Fabric fell apart
"Metal Vent Tech Short Sleeve
NEW",,,"Good for wearing out to events, but not good for working out in"
"Metal Vent Tech Short Sleeve
NEW",,,An amazing shirt
"Metal Vent Tech Short Sleeve
NEW",,,"Great shirt, inconsistent in sizing"
"Metal Vent Tech Short Sleeve
NEW",,,unfortunately not like the women's line
"Metal Vent Tech Short Sleeve
NEW",,,Something's not right
"Metal Vent Tech Short Sleeve
NEW",,,Perfect fit for between Medium and Large
"Metal Vent Tech Short Sleeve
NEW",,,Crossfit Traveler
"Metal Vent Tech Short Sleeve
NEW",,,Deteriorating quality
"Metal Vent Tech Short Sleeve
NEW",,,Great Comfortable shirt - defective stitching
"Metal Vent Tech Short Sleeve
NEW",,,Love these shirts at first but disappointed in quality
"Metal Vent Tech Short Sleeve
NEW",,,Pilling and Pulling
"Metal Vent Tech Short Sleeve
NEW",,,Odd fold marks?
"Metal Vent Tech Short Sleeve
NEW",,,"Nice Shirt, Poor Durability"
"Metal Vent Tech Short Sleeve
NEW",,,Good design but low quality
"Metal Vent Tech Short Sleeve
NEW",,,Bring back last season version and I'll start buying again
"Metal Vent Tech Short Sleeve
NEW",,,worth the price
"Metal Vent Tech Short Sleeve
NEW",,,Cheaper construction and fabric
