Breeze By Muscle Tank II,$58.00,,4.6 out of 5,5 out of 5,DJCUSI,CHICAGO,RUNNER,OVER 65,PETITE,,,,Greatest top!,2018-08-02,"I love this tank - fabric is great, its not too fitted and not too loose - perfect. I love the fabric too! Its not that cotton that looks old after you wash it. I have the black and the white - not crazy about the green. Please make other colors!",,,1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,5 out of 5,JONELLE,OHIO,RUNNER,25-34,ATHLETIC,,,,Favorite tank,2018-07-31,Love this tank. Keeps me cool no matter how hot it is and still can be covered. Best item I have ever ordered from here.,,,1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,5 out of 5,EMKC,KANSAS,SWEATY GENERALIST,35-44,ATHLETIC,,,roomy,MY FAVORITE,2018-07-29,"I love this so much that I bought it in green, black and the bright pink. Can't wait to get the white...I also want the long-sleeve version but its not currently offered. This is a looser fit top with a crew neck (which I prefer). There is a band around the waist so it doesn't just blouse out....it works great for workouts, but I also love wearing it out and about and to my kids' games out in the heat. The holes are NOT see-through...its perfectly appropriate. LOVE IT and want more colors!! I am 5'7"", 128lbs and I ordered a 6. I could have gotten a 4, but I thought it might be too short.",,,1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,5 out of 5,DAISY38,"CALIFORNIA, USA",SWEATY GENERALIST,35-44,ATHLETIC,lightweightstylish,stretches when sweat a lot,oversized,Love!,2018-07-27,This is my new favorite tank! Love so much I got all 3 colors. It fits with a Lil room to move. I thought the holes might be a little see through but they weren’t. I like that I can wear a cute colored sports bra under without showing my mid section. Love wearing this to the gym or my HIIT classes. If you sweat a lot it can stretch a lil but doesn’t bother me. Gave to a friend and she has since ordered the other colors as well.,,,1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,5 out of 5,LIZSKI617,"BOSTON, MA",SWEATY GENERALIST,35-44,ATHLETIC,,,,Love these tanks,2018-07-26,"I love the fit and style of these. I purchased all 3 colors. Great for spin or other sweaty workouts. I washed according to instructions and did have an issue with the white one where some of the holes stretched out and pilled, but contacted LLL and they let me exchange it by mail with no hassles at all.",,,1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,5 out of 5,SOUTHERNRUNNER38,,RUNNER,35-44,ATHLETIC,,,,Great looking athleisure top!,2018-07-23,Very cute and breezy top! It’s a loose fit but I got my regular lulu fitted top size and it worked great. Reminds me of a Billy Jean King tennis era throwback!,,,1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,1 out of 5,JKNYC,"NEW YORK, NY, USA",RUNNER,35-44,ATHLETIC,style & fit,durability,roomy,Washed once and now partially damaged,2018-07-10,"Loved the fit of this top so much that I purchased both white & olive colors. As soon as I washed these into the washing machine, some of the holes ripped in the front and now partially damaged. The material is too weak for machine washing.","July 11, 2018","Dear JKNYC,

Thank you for taking the time to share your feedback with us. I am sorry to hear that your Breeze By Muscle Tank II is not performing for you. Keep an eye out for an email coming your way. Chat Soon!",1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,1 out of 5,MSC0618,,,,,,,,Fabric snags too easily,2018-06-22,I was so excited about this tank and wore it to 1 barre class and it now has 2 snags in it on the front that I can't get out and I'm a few days past the window to return or exchange...so disappointing! Lululemon clothes are not cheap and for only wearing this once it's such a disappointment!,"July 13, 2018","Hey Love2wear,
We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",1,0
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,4 out of 5,ATTLE,"OTTAWA, ON, CANADA",CYCLIST,25-34,PETITE,"neckline, shape","knit fabric type, big arm holes",roomy,"Nice, but unexpected fabric",2018-06-12,"First, I LOVE a crew neck in a top like this. Great for solving too-much-cleavage issues spin and yoga class and it makes my shoulders look great.",,,7,4
Breeze By Muscle Tank II,$58.00,,4.6 out of 5,5 out of 5,PARNISSIA,"TORONTO, ON",SWEATY GENERALIST,35-44,PETITE,"high armholes, coverage, breathable",,just right,Perfect full coverage top,2018-06-12,"Finally! More shirts with coverage for those of us who don't like gaping armholes and our goods dangling out. Even though the shirt is perforated and looks see-through on the model, in person it has more modest coverage. I bought this in both black and white - sized up from 6 to an 8 so it was a bit looser (I'm 34DD). Bought it to wear for running, pilates and general to and fro.",,,7,4
