"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,5 out of 5,SWEATSTARATL,"ATLANTA, GA, USA",SWEATY GENERALIST,25-34,ATHLETIC,,,tight,sized up and voila,2018-08-03,"I was lucky enough to find this in store so I was able to try it on... I am a 6 or 8 in lulu tops and bottoms but almost always an 8 in bras... The 8 was super tight, I felt like the straps were V short and it was cutting around my arm pits and had back rolls spilling out. (For reference, I'm athletic 5'10"" and 170lb)
Tried on the 10 and it was perfect. I worked out in it twice already and it really has held up.. One workout was a pilates low impact in which I just appreciated the molded cups for asthetic.. and this morning I did orangetheory with a lot of running and it seriously kept the girls in while still being flattering.
I would say size up if you order online but ideally try it on.",,,1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,2 out of 5,MISSRAIN,"MINNEAPOLIS, MN, USA",YOGI,25-34,ATHLETIC,,,just right,I couldn't wait to get it off,2018-07-31,"I read amazing reviews about this bra, how it holds the girls down and you can jump and jump and they stay in place so YEAH! LET'S GO FOR IT! I've been waiting for a bra like this for awhile now.
As I received it, I tried and it was all true, lock and loaded. I was excited to tried for a workout. I'm a DD and my ribcage is very small, it's hard to find something that fits right so I was super excited when I saw how great this bra hugged me.
Today I finally had a chance to take it to a real try and I was so disappointed.
After the first 15 minutes, I started felling high pressure on my neck, insane pressure, I wanted to get it off immediately but I was driving and I was hoping for this sensation to at least get less...pressuring during the workout. I was wrong. It only got worst so one hour later all I could think of was ""I want to get this off right now.""
During the workout, beside the pain on my neck, everything seemed to be just perfect: I jumped and the girls were not moving, I moved around and all good. Went in dower facing dog and did a reach backs and... ALERT ALERT!!! THE GIRLS ARE COMING OUT!!! YES! As this bra is my perfect fit, it doesn't cover the higher part so when you go ""upside down"" they come out!! I was so embarrassed. No one seemed to noticed what I was going through but my workout was a full struggle having to make sure the girls didn't just show off unrequested. Not fun.
I don't know what I'm gonna do with this bra now. There are too many negative things for me to keep using it, also, I noticed that it's really hard to find bras with high support lately here (tons of choices if you have smaller breasts but not enough if you're bigger) so I was really hoping for this to be the one.",,,1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,3 out of 5,SLOWINGDOWN,"MICHIGAN, USA",,35-44,ATHLETIC,periwinkle color is very pretty,stiff material,,Okay,2018-07-31,"It is ok once you have it on, but not easy to pull over the head. The material is strange.",,,1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,2 out of 5,SKINNYLITTLEFATGIRL,"YOUNTVILLE, CA, USA",SWEATY GENERALIST,35-44,ATHLETIC,"molded cup fabric, color","binding, fit",snug,wanted to love this,2018-07-30,"Saw this on WMTM and had to purchase. I've been eyeing it for a while. I bought it in 2 colors and I really thought it would be the perfect bra. I loved the fact that lulu finally decided to do molded cups because no one really wants a uni boob. It is so hard to find a bra that separates and shapes AND supports you during all activities. I'm no stranger to owning several types of bras and leggings for different sports or activities, but wouldn't it be great if there was one bra that could do all and tick off all my needs. I know it is a tall order and a lot to ask. I mean women's bodies are all so different what works for me won't work for you necessarily. With all that said this bra was a total fail for me and let me tell you why. First off I'm usually a size 6 in lulu tops and bras. 36C 34C depending on the bra. I'm petite and have an athletic build and I feel that's important to mention because bra straps tend to be too long for me. I'm in between sizes 6 sometimes is too tight right but going up to an 8 makes it too big. This bra if you look at the photo's has a binding that goes around all the edges. This is an open invitation for back fat or arm pit fat to spill over. The only way to avoid this is by hoping this bra offers a perfect fit and because I am petite and the straps always tend to be too long if I go up in size defeating the purpose of offering support. The binding also is very uncomfortable and offers very little give or stretch making this bra really hard to put on and take off especially if you are sweaty. If you look at the enlite bra there is no binding making that bra seamless under clothing and more comfortable. I also should add that I have wide athletic breast not full breasts so they don't completely fill the cups. This has always been a problem for me as the width of my breast tissue measures a C-D cup but I don't have the fullness of a C-D cup. The struggle to find a perfect sports bra rages on and because I bought it on sale I have to keep it. Seriously though lulu rethink your WMTM return policy. With tags still on and a shorter return time frame or even for an exchange for other product I think you guys should be a little more accommodating. I know I'm not the only one that has been a long time lulu shopper.","July 31, 2018","Dear skinnylittlefatgirl,

We appreciate you taking the time to share your feedback with us. I'm sorry to hear your gear isn't performing as expected—I can understand the disappointment. We'll be following up via email to discuss this further. Speak soon!",1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,2 out of 5,CONNER,"SALT LAKE CITY, UT",SWEATY GENERALIST,55-65,ATHLETIC,,,tight,So tight I've only worn it one time,2018-07-29,"I love the look, the fabric and the support of this bra. But it's so tight I can barely get it on and is so miserable each time I've tried I've had to pull it back off. I thought I'd take the pads out to make it a little roomier, but alas - it's the only Lulu bra I've had that doesn't let you remove them. Dang.","July 30, 2018","Dear Conner,

Thank you for taking the time to share your feedback with us. I'm sorry to hear that your Speed Up Bra *High Support for C/D Cup is not performing for you! Keep an eye out for an email coming your way. Chat soon!",1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,5 out of 5,BBGIRLCAN,"PORT MOODY, BC, CANADA",SWEATY GENERALIST,25-34,LEAN,"fit, straps, breathable, molded cups",,snug,Holds 'Em Tight,2018-07-29,"This is amazing. I feel secure without looking flat. It is so comfortable that I sometimes wear it instead of a normal bra. Great for running in and even skipping. While skipping there is some bounce, but without creating a show.",,,1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,5 out of 5,ANDICAT,"DETROIT, MI",RUNNER,35-44,ATHLETIC,"comfortable, the vent in the back",,snug,One of a kind!,2018-07-28,I absolutely love this bra! I own 3 and need like 5 more!!! I’m a 34D and this bra is perfect for me. No more chafing which was definitely on my list when looking for a good running bra. I’m a marathoner and run a ton of miles.,,,1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,2 out of 5,RIVER16,"SANTA BARBARA, CA, USA",RUNNER,18-24,PETITE,"cute, supportive","difficult to put on, color is fading",tight,Hard to put on,2018-07-27,"Pros:
-provides A LOT of support (I wear a 32DD and it’s difficult for me to find a sports bra that actually holds them in place when I run)
-super cute! The design is great and I like how it doesn’t give me awkward tan lines","July 29, 2018","Hi River16,

Thank you for taking the time to share your feedback with us. We are sorry to hear that your Speed Up Bra is not performing in a couple of ways for you, and we would love to help. Keep an eye out for an email coming your way. Chat soon!",1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,3 out of 5,MARLALANI,"MIAMI, FL",SWEATY GENERALIST,35-44,PETITE,,fit,,Unfortunately not the one,2018-07-21,This bra has a great design and concept but is so tight and uncomfortable all around.. I am a petite 32C ( really a 30) and I found both the 2 and 4 uncomfortable and difficult putting on and taking off.,"July 22, 2018","Hey marlalani,

Thanks for taking the time to pass along some feedback on the Speed Up Bra high Support for C/D Cup. I'm sorry to hear the fit is very uncomfortable. Keep an eye out for an email headed your way. Chat soon!",1,0
"Speed Up Bra
High Support for C/D Cup",$78.00,,2.9 out of 5,5 out of 5,EML77,"WASHINGTON, DC",SWEATY GENERALIST,25-34,MUSCULAR,,,super supportive,LOVE this sports bra!!!,2018-07-18,"This sports bra is marketed for C/D cup size. I'm usually a 34 DDD and bought a size 10. Based on others' comments and my experience, I suspect this bra is probably better suited to larger sizes than advertised, which is amazing because most sports bras do not cater to those sizes. The band is extremely comfortable and actually holds everything up without creating the usual smashed pancake look. =) And if that's not enough, it also doesn't pinch and create bulges under the arms.",,,1,0
