product,price,userRating,averageRating,username,userLocation,athleteType,ageRange,bodyType,likes,dislikes,fit,reviewTitle,reviewDate,reviewText,responseDate,responseText,Helpful,NotHelpful,reviewLength,category,categoryType
"Pace Breaker Short
9"" Updated",68,2.1,2,JLOG,PHILADELPHIA,SWEATY GENERALIST,25-34,MUSCULAR,colors,new oom liner,,Not a fan of the new liner,2018-10-12,"I have several pairs of the old pace breakers which I love. I bought the new ones with the OOM liner and had to return them. Granted, I only tried them on and wore them around the house for a few minutes and didn't work out in them. Maybe I would have gotten used to them? I don't know, but I didn't want to take that $68 risk.",,,0,0,327,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,DARTHGMAN,"LOS ANGELES, CA",RUNNER,45-54,SOLID,color,"fit (too tight), not “abc”",,I’ll never buy lined Lululemon shorts again,2018-10-12,"I just bought these shorts in Incognito Camo Red Multi today. I have been eyeing this color for a while and when I saw it on sale at my local store on my way out from picking up my store-hemmed Metal Tech hoodie, I could not resist. I am a Medium and didn’t bother trying the shorts on as I assumed the liner would fit the same if not better than my other Lululemon lined shorts or like my size Medium Lululemon Long Boxers. I mean these are “updated” right? What a big mistake. This liner is horrible - way too tight, it’s like they accidentally put in an XS liner and “ABC”? Forget it with these shorts. And to top it all off, the mesh is very uncomfortable. I probably should have read th e reviews before I bought these, but I have bought other items that have had not so good reviews and they have worked out well.",2018-10-12,"Dear DarthGman,

Thank you for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" *Updated is causing some discomfort. Keep your eyes peeled for an email headed your way so we can follow up and chat further.
Talk soon!",0,0,819,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,BJDW,"FORT WORTH, TX, USA",SWEATY GENERALIST,35-44,ATHLETIC,outer shell of the short,the liner,,Liner makes these a NO GO!!!,2018-10-07,"I have several pairs of the old style. They are perfect for running or gym. Just bought 4 pairs of the new ones, got home tried them on and oh man what a bust. The liner is much tighter (overall and especially in the package area), much shorter and doesn’t breathe. They really screwed up a good thing. These shorts are getting returned they are HORRIBLE!!",,,2,0,356,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,HEAVYLIFTERNYC,"NEW YORK, NY",SWEATY GENERALIST,45-54,MUSCULAR,the print,"pocket design and shape, quality",,WTF Happened?,2018-10-05,"I have worn 9"" Pace Breaker Shorts for many years. I own at least 7 pairs, as I sometimes am on a 2-a-day schedule. I purchased the new version (not realizing it was a new version). The sizing is off, but most importantly are the pockets. They always used to lay flat, and they were sized correctly to hold a phone. Now, they gap open (making the shorts look too tight, which they are not) and are so wide that an iPhone 8 slides to its side, making it very hard to take it out of your pocket. It remained vertical in the old shorts (because the pocket was too narrow for it to turn to its side). You would never know this in the store because who puts a phone in the shorts pocket when trying on?? Also, the liner is already starting to come unstitched at a seam. These are such a fail I won't buy another pair until they fix the design.",2018-10-06,"Hi HeavyLifterNYC,

Thank you for taking the time to share your feedback with us. We stand behind the quality of our product, and we want to ensure that you're in gear that is performing well for you. I hear that this is not the case and would like to work with you to create a resolution. Watch out for an email coming your way soon.",4,0,838,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,HOOGS3,"OTTAWA, ON",SWEATY GENERALIST,35-44,ATHLETIC,added features - pockets,liner,,Liner not as good as the old one,2018-10-03,"Disappointed in the new liner of these shorts. They are not as comfortable as the old one. I wanted to try out the new short to see if they would be worth purchasing in the future, but might have to find another option. Please keep offering the original, they fit much better!",,,2,0,276,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,TOOOOCH,,,,,,,,Miss the old Pace Breakers!,2018-10-03,"Lululemon is an excellent company and I own 10 plus pairs of pace breakers with the liner. The new updated fit PBs are off sized pulling to tight in the waste. The old liners are a little better feel as well imo, however that could be due the new off sizing.",2018-10-03,"Hey Tooooch,

Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" Updated is not performing for you. We'd love to get in touch. Give us a call at our Guest Education Centre (1.877.263.9300) or jump on Live Chat to speak directly with an educator. We look forward to speaking with you soon!",1,0,258,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,ALLBREEZY,,,,,,fit and material,,Not the same as my first pace breakers,2018-09-28,Material isn’t the same. The fit tighter than the originals. I see why they were on sale.,2018-09-29,"Hi Allbreezy,

We're sorry to read of your recent experience and would love to discuss this further. Please be sure to give us a call at our Guest Education Centre on 1.877.263.9300 or you can always start a Live Chat with us on our website. We look forward to hearing from you.",1,0,89,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,ANDREWJ,"LOS ANGELES, CA, USA",SWEATY GENERALIST,25-34,ATHLETIC,"nice outer material, looks good",liner is unwearable,,The liner ruins it,2018-09-25,"Previous owner of Pacebreakers and decided to pick up a new pair recently. Liner was extremely tight in my normal size (M) when I first tried them on. I thought that was strange, even double checking the size of short. I figured the liner would stretch out with use and become comfortable similar to the old, but after four workouts the liner hasn't stretched whatsoever. These shorts are going to be unwearable for me.",2018-09-27,"Hey andrewj,

Thanks for taking the time to share your feedback with us. I'm sorry to hear the Pace Breaker Short 9"" Updated is not working out for you. We stand behind our gear and would love to sort this out for you. Keep an eye out for an email coming your way. Chat Soon!",1,0,419,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,2,SADIELIB,"VANCOUVER, BC, CANADA",SWEATY GENERALIST,25-34,ATHLETIC,,"too tight, liner uncomfortable",,liner too tight,2018-09-25,"theses shorts are very uncomfortable. the liner is way to tight, and i have skinnier legs. not impressed.",2018-09-28,"Thanks for taking the time to share your thoughts on Pace Breaker Short 9"" *Updated.

We want you to know, feedback is at the heart of everything we do, and we'd love to make this experience right for you. I'd love to lend a hand and help with some options, so I've sent an email to you outlining the next steps.",2,0,105,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,1,RYBO,"SHAWNEE MISSION, KS, USA",SWEATY GENERALIST,25-34,ATHLETIC,ability to return merchandise,"updated liner, overall fit",,"Unnecessary ""update""",2018-09-25,"Purchased these shorts because I love the lined Pace Breaker and have several pairs. However, the ""updated"" fit is poorly executed because it features the Out Of Mind (OOM) liner. The liner is tight and the shorts fit differently than the ""classic"" Pace Breaker. I returned these because life is too short to wear shorts like these.",,,2,0,332,bottom,shorts
"Pace Breaker Short
9"" Updated",68,2.1,5,MHIRUKO,"ARIZONA, USA",SWEATY GENERALIST,18-24,MUSCULAR,,,,Awesome,2018-09-25,My dad generally gets normal Nike/adidas shorts and doesn’t care for me expensive items but absolutely loves these shorts! He says the fabric is the best!,,,0,2,154,bottom,shorts
